Symbol,Type,EntryTimeUTC,EntryPrice,LotSize,SL,TP,ExitTimeUTC,ExitPrice,Status,Commission,PnL_Currency,BalanceAfterTrade
GBPUSD,SELL,2025-04-07 10:55:00+00:00,1.28328,0.01,1.28509,1.27604,2025-04-07 12:40:00+00:00,1.28303,SL_HIT,0.09,0.16000000000008344,2817.1448751471853
XAUUSD,SELL,2025-04-07 13:25:00+00:00,3024.469,0.01,3033.049,2990.149,2025-04-07 14:10:00+00:00,3026.855,SL_HIT,0.11,-2.495999999999967,2814.648875147185
GBPUSD,SELL,2025-04-08 07:40:00+00:00,1.27666,0.01,1.27782,1.27202,2025-04-08 08:30:00+00:00,1.2769,SL_HIT,0.09,-0.33000000000001795,2814.3188751471853
EURUSD,SELL,2025-04-08 08:50:00+00:00,1.0939,0.01,1.09525,1.0885,2025-04-08 10:30:00+00:00,1.09327,SL_HIT,0.07,0.5600000000001304,2814.878875147185
GBPJPY,SELL,2025-04-08 10:55:00+00:00,187.272,0.01,187.541,186.196,2025-04-08 11:05:00+00:00,187.541,SL_HIT,0.15,-1.9911290432973694,2812.887746103888
USDCHF,SELL,2025-04-08 12:00:00+00:00,0.85441,0.01,0.85529,0.85089,2025-04-08 13:05:00+00:00,0.85373,SL_HIT,0.1,0.7311942305341815,2813.618940334422
USDCHF,SELL,2025-04-08 13:15:00+00:00,0.85441,0.01,0.85526,0.85101,2025-04-08 13:35:00+00:00,0.85419,SL_HIT,0.1,0.16891578046693304,2813.787856114889
EURUSD,SELL,2025-04-08 14:10:00+00:00,1.09275,0.01,1.09414,1.08719,2025-04-08 14:55:00+00:00,1.09152,SL_HIT,0.07,1.160000000000064,2814.947856114889
AUDJPY,SELL,2025-04-09 00:15:00+00:00,86.554,0.01,86.753,85.758,2025-04-09 00:40:00+00:00,86.453,SL_HIT,0.09,0.6012789344722264,2815.549135049361
BTCJPY,SELL,2025-04-09 01:15:00+00:00,11070560.0,0.01,11130486.0,10830856.0,2025-04-09 01:25:00+00:00,10830856.0,TP_HIT,0.21,16.196170862250693,2831.745305911612
BTCJPY,SELL,2025-04-09 03:05:00+00:00,11001552.0,0.01,11077852.0,10696352.0,2025-04-09 04:00:00+00:00,10960188.0,SL_HIT,0.21,2.621095232228656,2834.3664011438404
GBPJPY,SELL,2025-04-09 07:20:00+00:00,185.845,0.01,186.273,184.133,2025-04-09 07:40:00+00:00,186.273,SL_HIT,0.15,-3.07938003914964,2831.2870211046907
USDCHF,SELL,2025-04-09 09:00:00+00:00,0.8429,0.01,0.84452,0.83642,2025-04-09 12:35:00+00:00,0.83642,TP_HIT,0.1,7.820792079207835,2839.1078131838985
GBPUSD,SELL,2025-04-09 14:10:00+00:00,1.27716,0.01,1.27906,1.26956,2025-04-09 15:20:00+00:00,1.2779,SL_HIT,0.09,-0.8299999999999629,2838.2778131838986
AUDJPY,BUY,2025-04-10 03:00:00+00:00,90.31,0.01,90.121,91.066,2025-04-10 04:00:00+00:00,90.52,SL_HIT,0.09,1.347312636031332,2839.62512581993
BTCJPY,BUY,2025-04-10 05:50:00+00:00,12054025.0,0.01,12022463.0,12180273.0,2025-04-10 06:30:00+00:00,12049531.0,SL_HIT,0.21,-0.5175849041107141,2839.1075409158193
BTCJPY,BUY,2025-04-10 07:05:00+00:00,12074454.0,0.01,12040781.0,12209146.0,2025-04-10 07:20:00+00:00,12040781.0,SL_HIT,0.21,-2.5146965901468796,2836.5928443256726
EURUSD,BUY,2025-04-10 09:15:00+00:00,1.10483,0.01,1.10306,1.11191,2025-04-10 12:30:00+00:00,1.11191,TP_HIT,0.07,7.009999999999975,2843.6028443256723
GBPUSD,BUY,2025-04-10 12:35:00+00:00,1.28783,0.01,1.28629,1.29399,2025-04-10 12:40:00+00:00,1.29399,TP_HIT,0.09,6.069999999999943,2849.6728443256725
EURUSD,BUY,2025-04-10 13:15:00+00:00,1.11198,0.01,1.11027,1.11882,2025-04-10 14:25:00+00:00,1.11255,SL_HIT,0.07,0.4999999999999593,2850.1728443256725
EURUSD,BUY,2025-04-10 14:35:00+00:00,1.11198,0.01,1.1103,1.1187,2025-04-10 15:10:00+00:00,1.11579,SL_HIT,0.07,3.7400000000000913,2853.9128443256727
BTCXAU,SELL,2025-04-10 15:15:00+00:00,26.03728,0.01,26.16001,25.54636,2025-04-10 15:20:00+00:00,25.54636,TP_HIT,0.2,16.337258759199973,2870.2501030848725
XAUUSD,BUY,2025-04-11 07:15:00+00:00,3207.644,0.01,3198.075,3245.92,2025-04-11 08:40:00+00:00,3214.386,SL_HIT,0.11,6.632000000000189,2876.8821030848726
GBPJPY,SELL,2025-04-11 09:35:00+00:00,186.45,0.01,186.822,184.962,2025-04-11 09:45:00+00:00,186.822,SL_HIT,0.15,-2.696096669541389,2874.186006415331
XAUUSD,BUY,2025-04-11 09:50:00+00:00,3224.855,0.01,3216.277,3259.167,2025-04-11 10:25:00+00:00,3225.511,SL_HIT,0.11,0.5459999999999491,2874.732006415331
GBPUSD,BUY,2025-04-11 12:10:00+00:00,1.30988,0.01,1.30794,1.31764,2025-04-11 13:30:00+00:00,1.31094,SL_HIT,0.09,0.9700000000000609,2875.702006415331
BTCUSD,BUY,2025-04-11 13:55:00+00:00,82466.59,0.01,82146.82,83745.67,2025-04-11 14:15:00+00:00,82324.83,SL_HIT,0.16,-1.5775999999999475,2874.124406415331
BTCJPY,BUY,2025-04-12 05:00:00+00:00,11936813.0,0.01,11907445.0,12054285.0,2025-04-12 06:55:00+00:00,11986715.0,SL_HIT,0.21,3.205465483963698,2877.3298718992946
BTCJPY,BUY,2025-04-12 07:05:00+00:00,11954702.0,0.01,11924236.0,12076566.0,2025-04-12 08:00:00+00:00,12006759.0,SL_HIT,0.21,3.3529611378040602,2880.6828330370986
BTCJPY,BUY,2025-04-12 08:10:00+00:00,12013652.0,0.01,11987411.0,12118616.0,2025-04-12 08:20:00+00:00,12015966.0,SL_HIT,0.21,-0.05162183620111424,2880.6312112008973
BTCJPY,BUY,2025-04-12 12:05:00+00:00,11985607.0,0.01,11966533.0,12061903.0,2025-04-12 12:50:00+00:00,12004608.0,SL_HIT,0.21,1.0904941617729595,2881.72170536267
ETHUSD,BUY,2025-04-12 12:55:00+00:00,1594.38,0.1,1589.73,1612.98,2025-04-12 13:00:00+00:00,1612.98,TP_HIT,0.3,1.559999999999991,2883.28170536267
BTCJPY,BUY,2025-04-12 13:10:00+00:00,11989765.0,0.01,11971454.0,12063009.0,2025-04-12 13:15:00+00:00,12063009.0,TP_HIT,0.21,4.803072700642,2888.084778063312
BTCUSD,BUY,2025-04-12 13:40:00+00:00,84090.93,0.01,83865.7,84991.85,2025-04-12 14:25:00+00:00,84991.85,TP_HIT,0.16,8.849200000000128,2896.933978063312
BTCJPY,BUY,2025-04-12 14:30:00+00:00,12064513.0,0.01,12034604.0,12184149.0,2025-04-12 14:35:00+00:00,12184149.0,TP_HIT,0.21,7.978301644011883,2904.912279707324
BTCXAU,BUY,2025-04-12 14:40:00+00:00,25.96971,0.01,25.90609,26.22419,2025-04-12 14:50:00+00:00,26.22419,TP_HIT,0.2,8.372479444800033,2913.284759152124
ETHUSD,BUY,2025-04-12 14:55:00+00:00,1622.2,0.1,1611.96,1663.16,2025-04-12 15:20:00+00:00,1663.16,TP_HIT,0.3,3.796000000000004,2917.080759152124
ETHUSD,BUY,2025-04-12 15:30:00+00:00,1620.99,0.1,1610.56,1662.71,2025-04-12 15:35:00+00:00,1662.71,TP_HIT,0.3,3.8720000000000034,2920.9527591521237
BTCJPY,BUY,2025-04-13 03:45:00+00:00,12270042.0,0.01,12231308.0,12424978.0,2025-04-13 03:55:00+00:00,12264158.0,SL_HIT,0.21,-0.6127213119242194,2920.3400378401993
ETHUSD,BUY,2025-04-13 09:00:00+00:00,1620.99,0.1,1615.12,1644.47,2025-04-13 10:05:00+00:00,1621.05,SL_HIT,0.3,-0.2940000000000054,2920.0460378401995
GBPUSD,BUY,2025-04-14 08:05:00+00:00,1.31722,0.01,1.31591,1.32246,2025-04-14 08:40:00+00:00,1.31675,SL_HIT,0.09,-0.5599999999999704,2919.4860378401995
BTCUSD,BUY,2025-04-14 08:45:00+00:00,84785.3,0.01,84536.91,85778.86,2025-04-14 09:25:00+00:00,84536.91,SL_HIT,0.16,-2.6438999999999946,2916.8421378401995
GBPJPY,BUY,2025-04-14 09:35:00+00:00,187.681,0.01,187.4,188.805,2025-04-14 09:45:00+00:00,188.366,SL_HIT,0.15,4.538376931816642,2921.3805147720163
GBPUSD,BUY,2025-04-14 09:50:00+00:00,1.31718,0.01,1.31586,1.32246,2025-04-14 11:50:00+00:00,1.31913,SL_HIT,0.09,1.859999999999896,2923.240514772016
BTCJPY,BUY,2025-04-14 12:05:00+00:00,12154809.0,0.01,12122575.0,12283745.0,2025-04-14 13:25:00+00:00,12234465.0,SL_HIT,0.21,5.2419321588435785,2928.4824469308596
BTCXAU,BUY,2025-04-14 13:30:00+00:00,26.34166,0.01,26.26407,26.65202,2025-04-14 13:40:00+00:00,26.39973,SL_HIT,0.2,1.7561611182000247,2930.2386080490596
BTCJPY,BUY,2025-04-15 00:40:00+00:00,12136675.0,0.01,12104370.0,12265895.0,2025-04-15 01:05:00+00:00,12153112.0,SL_HIT,0.21,0.9150051332594145,2931.153613182319
AUDJPY,BUY,2025-04-15 01:20:00+00:00,90.855,0.01,90.752,91.267,2025-04-15 01:50:00+00:00,90.875,SL_HIT,0.09,0.04688691771724654,2931.200500100036
BTCJPY,BUY,2025-04-15 02:00:00+00:00,12189324.0,0.01,12153483.0,12332688.0,2025-04-15 02:20:00+00:00,12153483.0,SL_HIT,0.21,-2.6630820089524043,2928.537418091084
AUDJPY,BUY,2025-04-15 03:45:00+00:00,90.918,0.01,90.812,91.342,2025-04-15 05:55:00+00:00,91.035,SL_HIT,0.09,0.7107884686459847,2929.24820655973
BTCJPY,BUY,2025-04-15 07:10:00+00:00,12256303.0,0.01,12224748.0,12382523.0,2025-04-15 08:30:00+00:00,12272717.0,SL_HIT,0.21,0.9134309337056659,2930.1616374934356
GBPUSD,BUY,2025-04-15 09:35:00+00:00,1.3234,0.01,1.32208,1.32868,2025-04-15 10:00:00+00:00,1.32377,SL_HIT,0.09,0.2799999999999815,2930.441637493436
